Acquisition_date,year,Google_company,Business,Category,Country,Price,Integrated_with,Continent
2/12/2001,2001,Deja,Usenet,Communication,USA,,Google Groups,NorthAmerica
9/20/2001,2001,Outride,Web search engine,Search,USA,,Google Personalized Search,NorthAmerica
2/1/2003,2003,Pyra Labs,Weblog software,Publishing,USA,,Blogger,NorthAmerica
4/1/2003,2003,Neotonic Software,Customer relationship management,Communication,USA,,"Google Groups, Gmail",NorthAmerica
4/1/2003,2003,Applied Semantics,Online advertising,Publishing,USA,"$102,000,000","AdSense, AdWords",NorthAmerica
9/30/2003,2003,Kaltix,Web search engine,Search,USA,,iGoogle,NorthAmerica
10/1/2003,2003,Sprinks,Online advertising,Publishing,USA,,"AdSense, AdWords",NorthAmerica
10/1/2003,2003,Genius Labs,Blogging,Publishing,USA,,Blogger,NorthAmerica
5/10/2004,2004,Ignite Logic,HTML editor,Publishing,USA,,Google Sites,NorthAmerica
7/13/2004,2004,Picasa,Image organizer,Publishing,USA,,"Picasa, Blogger",NorthAmerica
9/1/2004,2004,ZipDash,Traffic analysis,Maps,USA,,Google Maps,NorthAmerica
10/1/2004,2004,Where2,Map analysis,Maps,AUS,,Google Maps,Aus
10/27/2004,2004,"Keyhole, Inc",Map analysis,Maps,USA,,"Google Maps, Google Earth",NorthAmerica
3/28/2005,2005,Urchin Software Corporation,Web analytics,Publishing,USA,,Google Analytics,NorthAmerica
5/12/2005,2005,Dodgeball,Social networking service,Maps,USA,,Google Latitude,NorthAmerica
7/19/2005,2005,Akwan Information Technologies,Search engines,Search,BRA,,Internet backbone,SA
7/1/2005,2005,Reqwireless,Mobile browser,Mobile,CAN,,Google Mobile,NorthAmerica
8/17/2005,2005,Android,Mobile software,Mobile,USA,"$50,000,000",Android,NorthAmerica
11/1/2005,2005,Skia,Graphics software,Mobile,USA,,"Android, Google Chrome",NorthAmerica
12/27/2005,2005,Phatbits,Widget engine,Misc,USA,,Google Desktop,NorthAmerica
