Year,Category,Count
2001,Communication,1
2001,Search,1
2003,Communication,1
2003,Publishing,4
2003,Search,1
2004,Maps,3
2004,Publishing,2
2005,Maps,1
2005,Misc,1
2005,Mobile,5
2005,Publishing,1
2005,Search,1
2006,AI,1
2006,Communication,3
2006,Maps,1
2006,Publishing,3
2006,Search,1
2006,Youtube,1
2007,Communication,5
2007,Maps,2
2007,Mobile,3
2007,Publishing,3
2007,Search,1
2007,Security,1
2007,Youtube,1
2008,Publishing,1
2008,Youtube,1
2009,Communication,2
2009,Publishing,2
2009,Security,1
2009,Youtube,1
2010,AI,1
2010,Communication,2
2010,Maps,1
2010,Misc,4
2010,Mobile,6
2010,Publishing,2
2010,Search,4
2010,Social,5
2010,Youtube,1
2011,AI,1
2011,Maps,1
2011,Misc,2
2011,Mobile,6
2011,Offers,6
2011,Publishing,3
2011,Search,1
2011,Security,1
2011,Social,2
2011,Youtube,3
2012,Communication,3
2012,Misc,1
2012,Mobile,4
2012,Offers,1
2012,Publishing,1
2012,Security,1
2012,Social,1
2013,AI,13
2013,Cloud,1
2013,Maps,1
2013,Mobile,2
2013,Offers,1
2014,AI,11
2014,Cloud,3
2014,Communication,1
2014,Maps,1
2014,Misc,3
2014,Mobile,8
2014,Offers,1
2014,Publishing,2
2014,Security,2
2014,Social,1
2014,Youtube,1
2015,AI,2
2015,Cloud,1
2015,Communication,1
2015,Maps,1
2015,Mobile,7
2015,Social,1
2015,Youtube,2
2016,AI,3
2016,Cloud,3
2016,Communication,1
2016,Maps,1
2016,Misc,1
2016,Mobile,4
2016,Youtube,2
2017,AI,2
2017,Communication,1
