Acquisition date,year,Google company,Business,Category,Country list,Price,Used as or integrated with
"February 12, 2001",2001,Deja,Usenet,Communication,USA,,Google Groups
"September 20, 2001",2001,Outride,Web search engine,Search,USA,,Google Personalized Search
February 2003,2003,Pyra Labs,Weblog software,Publishing,USA,,Blogger
April 2003,2003,Neotonic Software,Customer relationship management,Communication,USA,,"Google Groups, Gmail"
April 2003,2003,Applied Semantics,Online advertising,Publishing,USA,"$102,000,000","AdSense, AdWords"
"September 30, 2003",2003,Kaltix,Web search engine,Search,USA,,iGoogle
October 2003,2003,Sprinks,Online advertising,Publishing,USA,,"AdSense, AdWords"
October 2003,2003,Genius Labs,Blogging,Publishing,USA,,Blogger
"May 10, 2004",2004,Ignite Logic,HTML editor,Publishing,USA,,Google Sites
"July 13, 2004",2004,Picasa,Image organizer,Publishing,USA,,"Picasa, Blogger"
September 2004,2004,ZipDash,Traffic analysis,Maps,USA,,Google Maps
October 2004,2004,Where2,Map analysis,Maps,AUS,,Google Maps
"October 27, 2004",2004,"Keyhole, Inc",Map analysis,Maps,USA,,"Google Maps, Google Earth"
"March 28, 2005",2005,Urchin Software Corporation,Web analytics,Publishing,USA,,Google Analytics
"May 12, 2005",2005,Dodgeball,Social networking service,Maps,USA,,Google Latitude
"July 19, 2005",2005,Akwan Information Technologies,Search engines,Search,BRA,,Internet backbone
July 2005,2005,Reqwireless,Mobile browser,Mobile,CAN,,Google Mobile
"August 17, 2005",2005,Android,Mobile software,Mobile,USA,"$50,000,000",Android
November 2005,2005,Skia,Graphics software,Mobile,USA,,"Android, Google Chrome"
"December 27, 2005",2005,Phatbits,Widget engine,Misc,USA,,Google Desktop
"December 31, 2005",2005,allPAY GmbH,Mobile software,Mobile,GER,,Google Mobile
"December 31, 2005",2005,bruNET GmbH,Mobile software,Mobile,GER,,Google Mobile
"January 17, 2006",2006,dMarc Broadcasting,Advertising,Publishing,USA,"$102,000,000",AdSense
"February 14, 2006",2006,Measure Map,Weblog software,Publishing,USA,,Google Analytics
"March 9, 2006",2006,Upstartle,Word processor,Communication,USA,,Google Docs
"March 14, 2006",2006,@Last Software,3D modeling software,Communication,USA,,Google Sketchup
"April 9, 2006",2006,Orion,Web search engine,Search,AUS,,Google Search
"June 1, 2006",2006,2Web Technologies,Online spreadsheets,Communication,USA,,Google Spreadsheet
"August 15, 2006",2006,Neven Vision Germany GmbH,Computer vision,AI,GER,,"Picasa, Google Goggles"
"October 9, 2006",2006,YouTube,Video sharing,Youtube,USA,"$1,650,000,000",YouTube
"October 31, 2006",2006,JotSpot,Web application,Publishing,USA,,Google Sites
"December 18, 2006",2006,Endoxon,Mapping,Maps,CHE,"$28,000,000",Google Maps
"February 16, 2007",2007,Adscape,In-game advertising,Publishing,USA,"$23,000,000",AdSense
"March 16, 2007",2007,Trendalyzer,Statistical software,Publishing,SWE,,Google Analytics
"May 28, 2007",2007,Crusix,Social networking service,Youtube,USA,,YouTube
"April 17, 2007",2007,Tonic Systems,Presentation program,Communication,USA,,Google Docs
"April 19, 2007",2007,Marratech,Videoconferencing,Communication,SWE,"$15,000,000","Google Talk, Google Hangouts"
"April 13, 2007",2007,DoubleClick,Online advertising,Publishing,USA,"$3,100,000,000",AdSense
"May 11, 2007",2007,GreenBorder,Computer security,Security,USA,,Google Chrome
"June 1, 2007",2007,Panoramio,Photo sharing,Maps,ESP,,Panoramio
"June 3, 2007",2007,FeedBurner,Web feed,Search,USA,"$100,000,000",FeedBurner
"June 5, 2007",2007,PeakStream,Parallel processing,Mobile,USA,,Android
"June 19, 2007",2007,Zenter,Presentation program,Communication,USA,,Google Docs
"July 2, 2007",2007,GrandCentral,Voice over IP,Communication,USA,"$45,000,000",Google Voice
"July 20, 2007",2007,ImageAmerica,Aerial photography,Maps,USA,,Google Maps
"July 9, 2007",2007,Postini,Communications security,Communication,USA,"$625,000,000",Gmail
"September 27, 2007",2007,Zingku,Social networking service,Mobile,USA,,Google Mobile
"October 9, 2007",2007,Jaiku,Microblogging,Mobile,FIN,,Google Mobile
"July 30, 2008",2008,Omnisio,Online video,Youtube,USA,"$15,000,000",YouTube
"September 12, 2008",2008,TNC,Weblog software,Publishing,KOR,,Blogger
"August 5, 2009",2009,On2,Video compression,Youtube,USA,"$133,000,000","WebM, YouTube"
"September 16, 2009",2009,reCAPTCHA,Security,Security,USA,,Google Books
"November 9, 2009",2009,AdMob,Mobile advertising,Publishing,USA,"$750,000,000","DoubleClick, Invite Media"
"November 9, 2009",2009,Gizmo5,Voice over IP,Communication,USA,"$30,000,000","Google Talk, Google Hangouts"
"November 23, 2009",2009,Teracent,Online advertising,Publishing,USA,,AdSense
"December 4, 2009",2009,AppJet,Collaborative real-time editor,Communication,USA,,"Google Wave, Google Docs"
"February 12, 2010",2010,Aardvark,Social search,Search,USA,"$50,000,000",Aardvark
"February 17, 2010",2010,reMail,Email search,Communication,USA,,Gmail
"March 1, 2010",2010,Picnik,Photo editing,Publishing,USA,,Picasa
"March 5, 2010",2010,DocVerse,Microsoft Office files sharing site,Communication,USA,"$25,000,000",Google Docs
"April 2, 2010",2010,Episodic,Online video platform start-up,Youtube,USA,,YouTube
"April 12, 2010",2010,PlinkArt,Visual search engine,Search,UK,,Google Goggles
"April 20, 2010",2010,Agnilux,Server CPUs,Mobile,USA,,Android
"April 27, 2010",2010,LabPixies,Gadgets,Mobile,ISR,,"iGoogle, Android"
"April 30, 2010",2010,BumpTop,Desktop environment,Mobile,CAN,"$30,000,000",Android
"May 18, 2010",2010,Global IP Solutions,Video and audio compression,Misc,USA,"$68,200,000",WebRTC
"May 20, 2010",2010,Simplify Media,Music streaming,Mobile,USA,,Android
"May 21, 2010",2010,Ruba.com,Travel,Misc,USA,,iGoogle
"June 3, 2010",2010,Invite Media,Advertising,Publishing,USA,"$81,000,000",DoubleClick
"July 16, 2010",2010,Metaweb,Semantic search,Search,USA,,Google Search
August 2010,2010,Zetawire,"Mobile payment, NFC",Mobile,CAN,,"Android, Google Wallet, Google Checkout"
