Acquisition date,Google company,Business,Category,Country list,Price,Used as or integrated with,Refs
"February 12, 2001",Deja,Usenet,Communication,USA,—,Google Groups,[8]
"September 20, 2001",Outride,Web search engine,Search,USA,—,Google Personalized Search,[9]
February 2003,Pyra Labs,Weblog software,Publishing,USA,—,Blogger,[10]
April 2003,Neotonic Software,Customer relationship management,Communication,USA,—,"Google Groups, Gmail",[11]
April 2003,Applied Semantics,Online advertising,Publishing,USA,"$102,000,000","AdSense, AdWords",[12][13]
"September 30, 2003",Kaltix,Web search engine,Search,USA,—,iGoogle,[14]
October 2003,Sprinks,Online advertising,Publishing,USA,—,"AdSense, AdWords",[15]
October 2003,Genius Labs,Blogging,Publishing,USA,—,Blogger,[16]
"May 10, 2004",Ignite Logic,HTML editor,Publishing,USA,—,Google Sites,[17]
"July 13, 2004",Picasa,Image organizer,Publishing,USA,—,"Picasa, Blogger",[18]
September 2004,ZipDash,Traffic analysis,Maps,USA,—,Google Maps,[19]
October 2004,Where2,Map analysis,Maps,AUS,—,Google Maps,[20]
"October 27, 2004","Keyhole, Inc",Map analysis,Maps,USA,—,"Google Maps, Google Earth",[21]
"March 28, 2005",Urchin Software Corporation,Web analytics,Publishing,USA,—,Google Analytics,[22]
"May 12, 2005",Dodgeball,Social networking service,Maps,USA,—,Google Latitude,[23]
"July 19, 2005",Akwan Information Technologies,Search engines,Search,BRA,—,Internet backbone,[24]
July 2005,Reqwireless,Mobile browser,Mobile,CAN,—,Google Mobile,[25]
"August 17, 2005",Android,Mobile software,Mobile,USA,"$50,000,000",Android,[26][27]
November 2005,Skia,Graphics software,Mobile,USA,—,"Android, Google Chrome",[28]
"December 27, 2005",Phatbits,Widget engine,,USA,—,Google Desktop,[29]
"December 31, 2005",allPAY GmbH,Mobile software,Mobile,GER,—,Google Mobile,[30]
"December 31, 2005",bruNET GmbH,Mobile software,Mobile,GER,—,Google Mobile,[30]
"January 17, 2006",dMarc Broadcasting,Advertising,Publishing,USA,"$102,000,000",AdSense,[31]
"February 14, 2006",Measure Map,Weblog software,Publishing,USA,—,Google Analytics,[32]
"March 9, 2006",Upstartle,Word processor,Communication,USA,—,Google Docs,[33]
"March 14, 2006",@Last Software,3D modeling software,Communication,USA,—,Google Sketchup,[34]
"April 9, 2006",Orion,Web search engine,Search,AUS,—,Google Search,[35]
"June 1, 2006",2Web Technologies,Online spreadsheets,Communication,USA,—,Google Spreadsheet,[36][37]
"August 15, 2006",Neven Vision Germany GmbH,Computer vision,AI,GER,—,"Picasa, Google Goggles",[38]
"October 9, 2006",YouTube,Video sharing,Youtube,USA,"$1,650,000,000",YouTube,[39][40]
"October 31, 2006",JotSpot,Web application,Publishing,USA,—,Google Sites,[41]
"December 18, 2006",Endoxon,Mapping,Maps,CHE,"$28,000,000",Google Maps,[42]
"February 16, 2007",Adscape,In-game advertising,Publishing,USA,"$23,000,000",AdSense,[43]
"March 16, 2007",Trendalyzer,Statistical software,Publishing,SWE,—,Google Analytics,[44]
"May 28, 2007",Crusix,Social networking service,Youtube,USA,—,YouTube,—
"April 17, 2007",Tonic Systems,Presentation program,Communication,USA,—,Google Docs,[45]
"April 19, 2007",Marratech,Videoconferencing,Communication,SWE,"$15,000,000","Google Talk, Google Hangouts",[46]
"April 13, 2007",DoubleClick,Online advertising,Publishing,USA,"$3,100,000,000",AdSense,[47][48][49]
"May 11, 2007",GreenBorder,Computer security,Security,USA,—,Google Chrome,[50]
"June 1, 2007",Panoramio,Photo sharing,Maps,ESP,—,Panoramio,[51]
"June 3, 2007",FeedBurner,Web feed,Search,USA,"$100,000,000",FeedBurner,[52]
"June 5, 2007",PeakStream,Parallel processing,Mobile,USA,—,Android,[53]
"June 19, 2007",Zenter,Presentation program,Communication,USA,—,Google Docs,[54]
